ISBN,Title,firstAuthorFN,firstAuthorLN,secondAuthorFN,secondAuthorLN,thridAuthorFN,thirdAuthorLN,Publisher,ogPubYear,Language,Genre,Price,invQty,Sale,orderStatus
0-7475-3849-2,Harry Potter and the Chamber of Secrets,J.K.,Rowling,null,null,null,null,Bloomsbury,1998,English,Fantasy,15.99,2,yes,null
	0-7475-4215-5,Harry Potter and the Prisoner of Azkaban,J.K.,Rowling,null,null,null,null,Bloomsbury,1999,English,Fantasy,15.99,3,yes,null
0-7475-4624-X,Harry Potter and the Goblet of Fire,J.K.,Rowling,null,null,null,null,Bloomsbury,2000,English,Fantasy,15.99,2,yes,null
0-7475-5100-6,Harry Potter and the Order of the Phoenix,J.K.,Rowling,null,null,null,null,Bloomsbury,2003,English,Fantasy,15.99,3,yes,null
0-7475-8108-8,Harry Potter and the Half-Blood Prince,J.K.,Rowling,null,null,null,null,Bloomsbury,2005,English,Fantasy,15.99,2,yes,null
0-545-01022-5,Harry Potter and the Deathly Hallows,J.K.,Rowling,null,null,null,null,Bloomsbury,2007,English,Fantasy,15.99,3,yes,null
0-312-85009-3,The Eye of the World,Robert,Jordan,null,null,null,null,Tor Books,1990,English,Fantasy,10.99,1,no,ordered
0-312-85140-5,The Great Hunt,Robert,Jordan,null,null,null,null,Tor Books,1990,English,Fantasy,10.99,1,no,ordered
0-312-85248-7,The Dragon Reborn,Robert,Jordan,null,null,null,null,Tor Books,1991,English,Fantasy,10.99,1,no,ordered
0-312-85431-5,The Shadow Rising,Robert,Jordan,null,null,null,null,Tor Books,1992,English,Fantasy,10.99,2,no,null
0-312-85427-7,The Fires of Heaven,Robert,Jordan,null,null,null,null,Tor Books,1993,English,Fantasy,10.99,3,no,null
0-312-85428-5,Lord of Chaos,Robert,Jordan,null,null,null,null,Tor Books,1994,English,Fantasy,10.99,4,no,null
0-312-85767-5,A Crown of Swords,Robert,Jordan,null,null,null,null,Tor Books,1996,English,Fantasy,10.99,3,no,null
0-312-85769-1,The Path of Daggers,Robert,Jordan,null,null,null,null,Tor Books,1998,English,Fantasy,10.99,2,no,null
0-312-86425-6,Winter's Heart,Robert,Jordan,null,null,null,null,Tor Books,2000,English,Fantasy,10.99,2,no,null
0-312-86459-0,Crossroads of Twilight,Robert,Jordan,null,null,null,null,Tor Books,2003,English,Fantasy,10.99,1,no,ordered
0-312-87307-7,Knife of Dreams,Robert,Jordan,null,null,null,null,Tor Books,2005,English,Fantasy,10.99,1,no,ordered
0-7653-0230-6,The Gathering Storm,Robert,Jordan,Brandon,Sanderson,null,null,Tor Books,2009,English,Fantasy,15.99,1,no,ordered
978-0-7653-2594-5,Towers of Midnight,Robert,Jordan,Brandon,Sanderson,null,null,Tor Books,2010,English,Fantasy,15.99,2,no,null
978-0-7653-2595-2,A Memory of Light,Robert,Jordan,Brandon,Sanderson,null,null,Tor Books,2013,English,Fantasy,15.99,2,no,null
0-671-66579-0,Ghost Ship,Diane,Carey,null,null,null,null,Simon & Schuster,1988,English,Science Fiction,7.99,3,yes,null
0-671-66929-X,The Peacekeepers,Gene,DeWeese,null,null,null,null,Simon & Schuster,1988,English,Science Fiction,7.99,4,yes,null
0-671-67319-X,The Children of Hamlin,Carmen,Carter,null,null,null,null,Simon & Schuster,1988,English,Science Fiction,7.99,3,yes,null
0-671-67438-2,Survivors,Jean,Lorrah,null,null,null,null,Simon & Schuster,1989,English,Science Fiction,7.99,2,yes,null
0-671-67940-6,Strike Zone,Peter,David,null,null,null,null,Simon & Schuster,1989,English,Science Fiction,7.99,3,yes,null
0-671-67714-4,Power Hungry,Howard,Weinstein,null,null,null,null,Simon & Schuster,1989,English,Science Fiction,7.99,2,yes,null
0-671-67980-5,Masks,John,Vornholt,null,null,null,null,Simon & Schuster,1989,English,Science Fiction,7.99,1,yes,null
0-671-68487-6,The Captains' Honor,David,Dvorkin,Daniel,Dvorkin,null,null,Simon & Schuster,1989,English,Science Fiction,7.99,2,yes,null
0-671-68708-5,A Call to Darkness,Michael,Friedman,null,null,null,null,Simon & Schuster,1989,English,Science Fiction,7.99,3,yes,null
0-671-69364-6,A Rock and a Hard Place,Peter,David,null,null,null,null,Simon & Schuster,1990,English,Science Fiction,7.99,4,yes,null
0-671-70130-4,Gulliver's Fugitives,Keith,Sharee,null,null,null,null,Simon & Schuster,1990,English,Science Fiction,7.99,3,yes,null
0-671-70237-8,Doomsday World,Carmen,Carter,Peter,David,Michael,Friedman,Simon & Schuster,1990,English,Science Fiction,7.99,2,yes,null
0-671-70010-3,The Eyes of the Beholders,A.C.,Crispin,null,null,null,null,Simon & Schuster,1990,English,Science Fiction,7.99,3,yes,null
0-671-70560-1,Exiles,Howard,Weinstein,null,null,null,null,Simon & Schuster,1990,English,Science Fiction,7.99,1,yes,null
0-671-70836-8,Fortune's Light,Michael,Friedman,null,null,null,null,Simon & Schuster,1991,English,Science Fiction,7.99,3,yes,null
0-671-70561-X,Contamination,John,Vornholt,null,null,null,null,Simon & Schuster,1991,English,Science Fiction,7.99,1,yes,null
0-671-70970-4,Boogeymen,Mel,Gilden,null,null,null,null,Simon & Schuster,1991,English,Science Fiction,7.99,1,yes,null
0-671-73389-3,Q-in-Law,Peter,David,null,null,null,null,Simon & Schuster,1991,English,Science Fiction,7.99,2,yes,null
0-671-70837-6,Perchance to Dream,Howard,Weinstein,null,null,null,null,Simon & Schuster,1991,English,Science Fiction,7.99,2,yes,null
0-671-76051-3,Spartacus,T.L.,Mancour,null,null,null,null,Simon & Schuster,1992,English,Science Fiction,7.99,4,yes,null
0-671-74264-7,Chains of Command,Bill,McCay,Eloise,Flood,null,null,Simon & Schuster,1992,English,Science Fiction,7.99,2,yes,null
0-671-77571-5,Imbalance,V.E.,Mitchell,null,null,null,null,Simon & Schuster,1992,English,Science Fiction,7.99,3,yes,null
0-671-79236-9,War Drums,John,Vornholt,null,null,null,null,Simon & Schuster,1992,English,Science Fiction,7.99,2,yes,null
0-671-79566-X,Nightshade,Laurell,Hamilton,null,null,null,null,Simon & Schuster,1992,English,Science Fiction,7.99,4,yes,null
0-671-79747-6,Grounded,David,Bischoff,null,null,null,null,Simon & Schuster,1993,English,Science Fiction,7.99,2,yes,null
0-671-79746-8,The Romulan Prize,Simon,Hawke,null,null,null,null,Simon & Schuster,1993,English,Science Fiction,7.99,4,yes,null
0-671-79831-6,Guises of the Mind,Rebecca,Neason,null,null,null,null,Simon & Schuster,1993,English,Science Fiction,7.99,2,yes,null
0-671-86571-4,Here There Be Dragons,John,Peel,null,null,null,null,Simon & Schuster,1993,English,Science Fiction,7.99,3,yes,null
0-671-79704-2,Sins of Commission,Susan,Wright,null,null,null,null,Simon & Schuster,1994,English,Science Fiction,7.99,2,yes,null
0-671-88341-0,Debtors' Planet,W.R.,Thompson,null,null,null,null,Simon & Schuster,1994,English,Science Fiction,7.99,1,yes,null
0-671-88414-X,Foreign Foes,Dave,Galanter,Greg,Brodeur,null,null,Simon & Schuster,1994,English,Science Fiction,7.99,2,yes,null
0-671-79567-8,Requiem,Michael,Friedman,Kevin,Ryan,null,null,Simon & Schuster,1994,English,Science Fiction,7.99,3,yes,null
0-671-52003-2,Balance of Power,Dafydd,Hugh,null,null,null,null,Simon & Schuster,1994,English,Science Fiction,7.99,4,yes,null
0-671-88045-4,Blaze of Glory,Simon,Hawke,null,null,null,null,Simon & Schuster,1995,English,Science Fiction,7.99,1,yes,null
0-671-87997-9,The Romulan Stratagem,Robert,Greenberger,null,null,null,null,Simon & Schuster,1995,English,Science Fiction,7.99,2,yes,null
0-671-89453-6,Into the Nebula,Gene,DeWeese,null,null,null,null,Simon & Schuster,1995,English,Science Fiction,7.99,3,yes,null
0-671-50105-4,The Last Stand,Brad,Ferguson,null,null,null,null,Simon & Schuster,1995,English,Science Fiction,7.99,2,yes,null
0-671-50107-0,Dragon's Honor,Kij,Johnson,Greg,Cox,null,null,Simon & Schuster,1996,English,Science Fiction,7.99,1,yes,null
0-671-54917-0,Rogue Saucer,John,Vornholt,null,null,null,null,Simon & Schuster,1996,English,Science Fiction,7.99,3,yes,null
